#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-18 16:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-18 16:00:02 UTC


綜合,#genre#
[HD]cctv4中文国际,https://t.freetv.fun/live/cctv4zhong-wen-guo-ji.smil
[BD]上海卫视,https://t.freetv.fun/live/shang-hai-wei-shi.m3u8
[BD]佛山综合,https://t.freetv.fun/live/fo-shan-zong-he.m3u8
[HD]内江新闻,rtmp://njzb.scnj.tv:1938/live/xwzh_xwzh800
[BD]内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.m3u8
[HD]北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi.smil
[BD]北京卫视高清,https://t.freetv.fun/live/bei-jing-wei-shi-gao-qing.smil
[BD]南国都市,https://t.freetv.fun/live/nan-guo-du-shi.m3u8
[HD]吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi.m3u8
[HD]四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi.smil
[BD]四川卫视高清,https://t.freetv.fun/live/si-chuan-wei-shi-gao-qing.smil
[BD]大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi.m3u8
[BD]大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-1.m3u8
[BD]安徽卫视高清,https://t.freetv.fun/live/an-hui-wei-shi-gao-qing.smil
[HD]山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi.smil
[BD]山东卫视高清,https://t.freetv.fun/live/shan-dong-wei-shi-gao-qing.smil
[HD]厦门卫视,https://t.freetv.fun/live/sha-men-wei-shi.m3u8
[BD]广州综合,https://t.freetv.fun/live/yan-zhou-zong-he.m3u8
[BD]广东民生,https://t.freetv.fun/live/yan-dong-min-sheng.m3u8
[BD]广东民生,https://t.freetv.fun/live/yan-dong-min-sheng-1.m3u8
[BD]广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang.m3u8
[BD]广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-1.m3u8
[BD]广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi.smil
[BD]广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-1.m3u8
[BD]广东卫视高清,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing.smil
[HD]广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi.smil
[HD]广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi-1.m3u8
[HD]东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.smil
[BD]江苏卫视,https://t.freetv.fun/live/jiang-su-wei-shi.smil
[BD]江苏卫视高清,https://t.freetv.fun/live/jiang-su-wei-shi-gao-qing.smil
[BD]江西卫视高清,https://t.freetv.fun/live/jiang-xi-wei-shi-gao-qing.smil
[BD]河北卫视,https://t.freetv.fun/live/he-bei-wei-shi.m3u8
[BD]河北卫视高清,https://t.freetv.fun/live/he-bei-wei-shi-gao-qing.smil
